lower.age.limit,Belgium,Germany,Finland,United Kingdom,Italy,Luxembourg,Netherlands,Poland
81,61.9735,444.5495,26.838,313.665,379.4645,1.9795,73.461,150.496
82,56.7815,421.9645,24.333,296.291,357.7285,1.7575,67.689,134.4935
83,51.8575,407.015,21.761,279.8975,324.0025,1.554,61.333,110.9395
84,47.1115,373.937,19.883,263.4345,291.702,1.459,56.0295,91.5885
85,36.743,293.7565,15.5845,223.8655,220.4,1.1955,46.564,76.1945
86,23.7915,189.8665,12.7015,165.5095,137.333,0.8725,36.7785,55.241
87,17.158,129.2695,11.8695,131.6815,114.2145,0.7125,31.7415,36.9325
88,15.1945,114.6525,9.891,121.0665,115.105,0.6205,27.6555,29.134
89,14.785,118.1705,8.186,111.675,114.074,0.572,23.102,26.0525
90,15.203,124.968,6.9515,97.928,108.485,0.5395,19.4115,26.152
91,13.4655,115.486,5.644,81.1185,98.024,0.456,15.945,24.158
92,10.374,93.5555,4.4345,63.739,78.1115,0.3635,12.3815,20.1445
93,7.7765,69.7235,3.3965,48.7665,59.2705,0.2725,9.2105,15.906
94,5.7405,50.987,2.4365,36.771,44.113,0.1925,6.717,11.8755
95,4.175,37.3455,1.72,27.1935,32.2625,0.1385,4.9375,8.0965
96,2.9285,25.751,1.17,19.5865,22.246,0.1005,3.466,4.9665
97,2.0205,16.803,0.7545,13.5555,14.3965,0.0675,2.3135,2.4915
98,1.315,10.6325,0.4655,9.032,9.3465,0.042,1.5025,0.8785
99,0.8255,6.4625,0.275,5.869,5.8905,0.0255,0.946,0.2875
100,1.1525,8.267,0.343,8.7685,8.0015,0.031,1.295,0.643
